,TEAM,FROM,TO,URL
462,Cincinnati Royals,1964,1966,/players/a/arnetja01.html
463,New York Nets,1970,1970,/players/a/arnzebo01.html
464,Cincinnati Royals,1971,1971,/players/a/arnzebo01.html
465,Cincinnati Royals,1971,1971,/players/a/arnzebo01.html
466,Indiana Pacers,1973,1974,/players/a/arnzebo01.html
467,Toronto Raptors,2002,2002,/players/a/arroyca01.html
468,Denver Nuggets,2002,2002,/players/a/arroyca01.html
469,Utah Jazz,2003,2004,/players/a/arroyca01.html
470,Utah Jazz,2005,2005,/players/a/arroyca01.html
471,Detroit Pistons,2005,2006,/players/a/arroyca01.html
472,Orlando Magic,2006,2008,/players/a/arroyca01.html
473,Miami Heat,2010,2011,/players/a/arroyca01.html
474,Boston Celtics,2011,2011,/players/a/arroyca01.html
475,Memphis Grizzlies,2009,2013,/players/a/arthuda01.html
476,Denver Nuggets,2014,2018,/players/a/arthuda01.html
477,Milwaukee Bucks,1970,1970,/players/a/arthujo01.html
478,Orlando Magic,2018,2018,/players/a/artisja01.html
479,Chicago Bulls,2011,2018,/players/a/asikom01.html
480,Houston Rockets,2013,2014,/players/a/asikom01.html
481,New Orleans Pelicans,2015,2018,/players/a/asikom01.html
482,Philadelphia 76ers,1988,1988,/players/a/askewvi01.html
483,Golden State Warriors,1991,1992,/players/a/askewvi01.html
484,Sacramento Kings,1993,1993,/players/a/askewvi01.html
485,Seattle SuperSonics,1993,1995,/players/a/askewvi01.html
486,Seattle SuperSonics,1996,1996,/players/a/askewvi01.html
487,New Jersey Nets,1997,1997,/players/a/askewvi01.html
488,Indiana Pacers,1997,1997,/players/a/askewvi01.html
489,Denver Nuggets,1997,1997,/players/a/askewvi01.html
490,Portland Trail Blazers,1998,1998,/players/a/askewvi01.html
491,Miami Heat,1991,1999,/players/a/askinke01.html
492,Baltimore Bullets,1954,1954,/players/a/asmondo01.html
493,New York Knicks,1956,1956,/players/a/athadi01.html
494,Detroit Pistons,1958,1958,/players/a/athadi01.html
495,Orlando Magic,2000,2000,/players/a/atkinch01.html
496,Detroit Pistons,2001,2001,/players/a/atkinch01.html
497,Detroit Pistons,2002,2004,/players/a/atkinch01.html
498,Boston Celtics,2004,2004,/players/a/atkinch01.html
499,Los Angeles Lakers,2005,2005,/players/a/atkinch01.html
500,Washington Wizards,2006,2006,/players/a/atkinch01.html
501,Memphis Grizzlies,2006,2006,/players/a/atkinch01.html
502,Memphis Grizzlies,2007,2007,/players/a/atkinch01.html
503,Denver Nuggets,2008,2008,/players/a/atkinch01.html
504,Denver Nuggets,2009,2009,/players/a/atkinch01.html
505,Oklahoma City Thunder,2009,2009,/players/a/atkinch01.html
506,Detroit Pistons,2010,2010,/players/a/atkinch01.html
507,Philadelphia Warriors,1961,1962,/players/a/attleal01.html
508,San Francisco Warriors,1963,1964,/players/a/attleal01.html
509,San Francisco Warriors,1965,1971,/players/a/attleal01.html
510,Detroit Falcons,1947,1947,/players/a/aubucch01.html
511,Atlanta Hawks,1992,1995,/players/a/augmost01.html
512,Atlanta Hawks,1996,1996,/players/a/augmost01.html
513,Detroit Pistons,1997,1997,/players/a/augmost01.html
514,Portland Trail Blazers,1997,2001,/players/a/augmost01.html
515,Charlotte Hornets,2002,2002,/players/a/augmost01.html
516,New Orleans Hornets,2003,2004,/players/a/augmost01.html
517,Orlando Magic,2005,2006,/players/a/augmost01.html
518,Charlotte Bobcats,2009,2012,/players/a/augusdj01.html
519,Indiana Pacers,2013,2013,/players/a/augusdj01.html
520,Toronto Raptors,2014,2014,/players/a/augusdj01.html
521,Chicago Bulls,2014,2014,/players/a/augusdj01.html
522,Detroit Pistons,2015,2015,/players/a/augusdj01.html
523,Oklahoma City Thunder,2015,2016,/players/a/augusdj01.html
524,Denver Nuggets,2016,2016,/players/a/augusdj01.html
525,Orlando Magic,2017,2020,/players/a/augusdj01.html
526,Milwaukee Bucks,2021,2021,/players/a/augusdj01.html
527,Houston Rockets,2021,2022,/players/a/augusdj01.html
528,Los Angeles Lakers,2022,2022,/players/a/augusdj01.html
529,Orlando Magic,2007,2008,/players/a/augusja01.html
530,Utah Jazz,1992,1993,/players/a/austiis01.html
531,Philadelphia 76ers,1994,1994,/players/a/austiis01.html
532,Miami Heat,1997,1998,/players/a/austiis01.html
533,Los Angeles Clippers,1998,1998,/players/a/austiis01.html
534,Orlando Magic,1999,1999,/players/a/austiis01.html
535,Washington Wizards,2000,2000,/players/a/austiis01.html
536,Vancouver Grizzlies,2001,2001,/players/a/austiis01.html
537,Memphis Grizzlies,2002,2002,/players/a/austiis01.html
538,Baltimore Bullets,1967,1967,/players/a/austijo01.html
539,New Jersey Americans,1968,1968,/players/a/austijo01.html
540,Detroit Pistons,1984,1984,/players/a/austike01.html
541,Washington Wizards,2021,2022,/players/a/avdijde01.html
542,Milwaukee Bucks,1993,1993,/players/a/aventan01.html
543,Milwaukee Bucks,1994,1994,/players/a/aventan01.html
544,Orlando Magic,1994,1995,/players/a/aventan01.html
545,Vancouver Grizzlies,1996,1996,/players/a/aventan01.html
546,Utah Jazz,1999,1999,/players/a/aventan01.html
547,Los Angeles Clippers,2000,2000,/players/a/aventan01.html
548,San Antonio Spurs,1974,1974,/players/a/averibi01.html
549,Kentucky Colonels,1975,1976,/players/a/averibi01.html
550,Buffalo Braves,1977,1977,/players/a/averibi01.html
551,New Jersey Nets,1978,1978,/players/a/averibi01.html
552,Buffalo Braves,1978,1978,/players/a/averibi01.html
553,Minnesota Timberwolves,2000,2002,/players/a/averywi01.html
554,Philadelphia 76ers,1971,1973,/players/a/awtrede01.html
555,Chicago Bulls,1973,1980,/players/a/awtrede01.html
556,Phoenix Suns,1975,1978,/players/a/awtrede01.html
557,Boston Celtics,1979,1979,/players/a/awtrede01.html
558,Seattle SuperSonics,1979,1981,/players/a/awtrede01.html
559,Portland Trail Blazers,1982,1982,/players/a/awtrede01.html
560,Washington Wizards,2022,2022,/players/a/ayayijo01.html
561,New Orleans Hornets,2012,2012,/players/a/ayongu01.html
562,Orlando Magic,2013,2013,/players/a/ayongu01.html
563,Milwaukee Bucks,2013,2013,/players/a/ayongu01.html
564,Atlanta Hawks,2014,2014,/players/a/ayongu01.html
565,Portland Trail Blazers,2010,2010,/players/p/pendeje02.html
566,Indiana Pacers,2012,2013,/players/p/pendeje02.html
567,San Antonio Spurs,2014,2015,/players/p/pendeje02.html
568,Los Angeles Clippers,2016,2016,/players/p/pendeje02.html
569,Phoenix Suns,2019,2022,/players/a/aytonde01.html
570,Golden State Warriors,2007,2010,/players/a/azubuke01.html
571,Dallas Mavericks,2012,2012,/players/a/azubuke01.html
572,Utah Jazz,2021,2022,/players/a/azubuud01.html
573,Boston Celtics,2014,2014,/players/b/babbch01.html
574,Portland Trail Blazers,2011,2011,/players/b/babbilu01.html
575,Portland Trail Blazers,2012,2013,/players/b/babbilu01.html
576,New Orleans Pelicans,2014,2016,/players/b/babbilu01.html
577,Miami Heat,2017,2017,/players/b/babbilu01.html
578,Atlanta Hawks,2018,2018,/players/b/babbilu01.html
579,Miami Heat,2018,2018,/players/b/babbilu01.html
580,Cleveland Cavaliers,1991,1991,/players/b/babicmi01.html
581,Miami Heat,1992,1992,/players/b/babicmi01.html
582,Boston Celtics,1949,1949,/players/b/bachjo01.html
583,Charlotte Hornets,2018,2019,/players/b/bacondw01.html
584,Charlotte Hornets,2020,2020,/players/b/bacondw01.html
585,Orlando Magic,2021,2021,/players/b/bacondw01.html
586,San Diego Conquistadors,1973,1973,/players/b/baconhe01.html
587,Baltimore Bullets,1953,1953,/players/b/baechji01.html
588,New York Knicks,1954,1957,/players/b/baechji01.html
589,Chicago Bulls,2001,2002,/players/b/bagarda01.html
590,Chicago Bulls,2003,2003,/players/b/bagarda01.html
591,Cleveland Cavaliers,1983,1983,/players/b/baglejo01.html
592,Cleveland Cavaliers,1984,1987,/players/b/baglejo01.html
593,New Jersey Nets,1988,1989,/players/b/baglejo01.html
594,Boston Celtics,1990,1993,/players/b/baglejo01.html
595,Atlanta Hawks,1994,1994,/players/b/baglejo01.html
596,Sacramento Kings,2019,2022,/players/b/baglema01.html
597,Detroit Pistons,2022,2022,/players/b/baglema01.html
598,Portland Trail Blazers,1982,1982,/players/b/baileca01.html
599,Houston Rockets,1975,1976,/players/b/bailegu01.html
600,New Orleans Jazz,1978,1979,/players/b/bailegu01.html
601,Washington Bullets,1980,1980,/players/b/bailegu01.html
602,Seattle SuperSonics,1980,1982,/players/b/baileja01.html
603,New Jersey Nets,1982,1983,/players/b/baileja01.html
604,Houston Rockets,1983,1984,/players/b/baileja01.html
605,New York Knicks,1985,1986,/players/b/baileja01.html
606,New Jersey Nets,1987,1987,/players/b/baileja01.html
607,Phoenix Suns,1988,1988,/players/b/baileja01.html
608,Utah Jazz,1984,1992,/players/b/baileth01.html
609,Minnesota Timberwolves,1992,1994,/players/b/baileth01.html
610,Utah Jazz,1999,1999,/players/b/baileth01.html
611,Phoenix Suns,1999,2000,/players/b/baileto01.html
612,Chicago Bulls,2015,2016,/players/b/bairsca01.html
613,Kentucky Colonels,1976,1976,/players/b/bakerji01.html
614,Toronto Raptors,1999,1999,/players/b/bakerla01.html
615,Los Angeles Clippers,2005,2005,/players/b/bakerma01.html
616,Portland Trail Blazers,2005,2005,/players/b/bakerma01.html
617,Chicago Stags,1947,1947,/players/b/bakerno01.html
618,New York Knicks,2017,2019,/players/b/bakerro01.html
619,Washington Wizards,2019,2019,/players/b/bakerro01.html
620,Milwaukee Bucks,1994,1997,/players/b/bakervi01.html
621,Seattle SuperSonics,1998,2001,/players/b/bakervi01.html
622,Seattle SuperSonics,2002,2002,/players/b/bakervi01.html
623,Boston Celtics,2003,2004,/players/b/bakervi01.html
624,New York Knicks,2004,2005,/players/b/bakervi01.html
625,Houston Rockets,2005,2005,/players/b/bakervi01.html
626,Los Angeles Clippers,2006,2006,/players/b/bakervi01.html
627,Memphis Grizzlies,2017,2017,/players/b/baldwwa01.html
628,Portland Trail Blazers,2018,2019,/players/b/baldwwa01.html
629,New York Knicks,2007,2012,/players/b/balkmre01.html
630,Denver Nuggets,2009,2011,/players/b/balkmre01.html
631,Los Angeles Clippers,1991,1991,/players/b/ballce01.html
632,Charlotte Hornets,2021,2022,/players/b/ballla01.html
633,Los Angeles Lakers,2018,2019,/players/b/balllo01.html
634,New Orleans Pelicans,2020,2021,/players/b/balllo01.html
635,Chicago Bulls,2022,2022,/players/b/balllo01.html
636,Washington Bullets,1978,1985,/players/b/ballagr01.html
637,Golden State Warriors,1986,1986,/players/b/ballagr01.html
638,Golden State Warriors,1987,1987,/players/b/ballagr01.html
639,Seattle SuperSonics,1989,1989,/players/b/ballagr01.html
640,St. Louis Bombers,1947,1947,/players/b/baltihe01.html
641,Orlando Magic,2019,2022,/players/b/bambamo01.html
642,Memphis Grizzlies,2021,2022,/players/b/banede01.html
643,San Antonio Spurs,1982,1985,/players/b/banksge01.html
644,Chicago Bulls,1986,1987,/players/b/banksge01.html
645,Boston Celtics,2004,2006,/players/b/banksma01.html
646,Minnesota Timberwolves,2006,2006,/players/b/banksma01.html
647,Phoenix Suns,2007,2008,/players/b/banksma01.html
648,Miami Heat,2008,2009,/players/b/banksma01.html
649,Toronto Raptors,2009,2011,/players/b/banksma01.html
650,Pittsburgh Condors,1971,1971,/players/b/bankswa01.html
651,New York Knicks,1985,1986,/players/b/bannike01.html
652,Los Angeles Clippers,1989,1991,/players/b/bannike01.html
653,Phoenix Suns,1974,1976,/players/b/bantomi01.html
654,Seattle SuperSonics,1976,1977,/players/b/bantomi01.html
655,New York Nets,1977,1977,/players/b/bantomi01.html
656,Indiana Pacers,1978,1982,/players/b/bantomi01.html
657,Philadelphia 76ers,1982,1982,/players/b/bantomi01.html
658,Toronto Raptors,2022,2022,/players/b/bantoda01.html
659,Atlanta Hawks,2022,2022,/players/b/barbeca01.html
660,St. Louis Hawks,1957,1957,/players/b/barbejo01.html
661,Phoenix Suns,2004,2010,/players/b/barbole01.html
662,Toronto Raptors,2011,2012,/players/b/barbole01.html
663,Indiana Pacers,2012,2012,/players/b/barbole01.html
664,Boston Celtics,2013,2013,/players/b/barbole01.html
665,Phoenix Suns,2014,2014,/players/b/barbole01.html
666,Golden State Warriors,2015,2016,/players/b/barbole01.html
667,Phoenix Suns,2017,2017,/players/b/barbole01.html
668,San Antonio Spurs,1992,1992,/players/b/bardost01.html
669,Dallas Mavericks,1993,1993,/players/b/bardost01.html
670,Detroit Pistons,1996,1996,/players/b/bardost01.html
671,Dallas Mavericks,2007,2011,/players/b/bareajo01.html
672,Minnesota Timberwolves,2012,2014,/players/b/bareajo01.html
673,Dallas Mavericks,2015,2020,/players/b/bareajo01.html
674,Toronto Raptors,2007,2013,/players/b/bargnan01.html
675,New York Knicks,2014,2015,/players/b/bargnan01.html
676,Brooklyn Nets,2016,2016,/players/b/bargnan01.html
677,Indianapolis Olympians,1950,1952,/players/b/barkecl01.html
678,Atlanta Hawks,1977,1977,/players/b/barketo01.html
679,Houston Rockets,1979,1979,/players/b/barketo01.html
680,Boston Celtics,1979,1979,/players/b/barketo01.html
681,New York Knicks,1979,1979,/players/b/barketo01.html
682,Philadelphia 76ers,1985,1991,/players/b/barklch01.html
683,Philadelphia 76ers,1992,1992,/players/b/barklch01.html
684,Phoenix Suns,1993,1996,/players/b/barklch01.html
685,Houston Rockets,1997,2000,/players/b/barklch01.html
686,Portland Trail Blazers,2001,2001,/players/b/barkler01.html
687,Portland Trail Blazers,2002,2002,/players/b/barkler01.html
688,Baltimore Bullets,1952,1952,/players/b/barksdo01.html
689,Baltimore Bullets,1953,1953,/players/b/barksdo01.html
690,Boston Celtics,1954,1955,/players/b/barksdo01.html
691,Golden State Warriors,2013,2016,/players/b/barneha02.html
692,Dallas Mavericks,2017,2019,/players/b/barneha02.html
693,Sacramento Kings,2019,2022,/players/b/barneha02.html
694,San Diego Rockets,1969,1969,/players/b/barneha01.html
695,New York Knicks,1965,1966,/players/b/barneji01.html
696,Baltimore Bullets,1966,1966,/players/b/barneji01.html
697,Los Angeles Lakers,1967,1967,/players/b/barneji01.html
698,Los Angeles Lakers,1968,1968,/players/b/barneji01.html
699,Chicago Bulls,1968,1969,/players/b/barneji01.html
700,Boston Celtics,1969,1970,/players/b/barneji01.html
701,Baltimore Bullets,1971,1971,/players/b/barneji01.html
702,Spirits of St. Louis,1975,1976,/players/b/barnema01.html
703,Detroit Pistons,1977,1978,/players/b/barnema01.html
704,Buffalo Braves,1978,1978,/players/b/barnema01.html
705,Boston Celtics,1979,1979,/players/b/barnema01.html
706,San Diego Clippers,1980,1980,/players/b/barnema01.html
707,Los Angeles Clippers,2004,2015,/players/b/barnema02.html
708,Sacramento Kings,2005,2005,/players/b/barnema02.html
709,New York Knicks,2006,2006,/players/b/barnema02.html
710,Philadelphia 76ers,2006,2006,/players/b/barnema02.html
711,Golden State Warriors,2007,2008,/players/b/barnema02.html
712,Phoenix Suns,2009,2009,/players/b/barnema02.html
713,Orlando Magic,2010,2010,/players/b/barnema02.html
714,Los Angeles Lakers,2011,2012,/players/b/barnema02.html
715,Memphis Grizzlies,2016,2016,/players/b/barnema02.html
716,Sacramento Kings,2017,2017,/players/b/barnema02.html
717,Golden State Warriors,2017,2017,/players/b/barnema02.html
718,Toronto Raptors,2022,2022,/players/b/barnesc01.html
719,Syracuse Nationals,1960,1961,/players/b/barnedi01.html
720,Los Angeles Lakers,1963,1965,/players/b/barnedi01.html
721,New York Knicks,1966,1974,/players/b/barnedi01.html
722,Boston Celtics,1967,1967,/players/b/barneji02.html
723,San Diego Rockets,1968,1970,/players/b/barneji02.html
724,Portland Trail Blazers,1971,1971,/players/b/barneji02.html
725,Golden State Warriors,1972,1974,/players/b/barneji02.html
726,New Orleans Jazz,1975,1975,/players/b/barneji02.html
727,New York Knicks,1975,1976,/players/b/barneji02.html
728,Philadelphia 76ers,1977,1977,/players/b/barneji02.html
729,Indiana Pacers,1976,1976,/players/b/barnena01.html
730,St. Louis Hawks,1963,1966,/players/b/barnhjo01.html
731,Detroit Pistons,1966,1966,/players/b/barnhjo01.html
732,Baltimore Bullets,1967,1967,/players/b/barnhjo01.html
733,San Diego Rockets,1968,1968,/players/b/barnhjo01.html
734,Baltimore Bullets,1969,1969,/players/b/barnhjo01.html
735,Indiana Pacers,1970,1971,/players/b/barnhjo01.html
736,Denver Rockets,1971,1971,/players/b/barnhjo01.html
737,Indiana Pacers,1972,1972,/players/b/barnhjo01.html
738,Seattle SuperSonics,1977,1977,/players/b/barnhno01.html
739,Indianapolis Olympians,1951,1953,/players/b/barnhle01.html
740,Baltimore Bullets,1954,1954,/players/b/barnhle01.html
741,Fort Wayne Pistons,1954,1954,/players/b/barnhle01.html
742,Fort Wayne Pistons,1954,1954,/players/b/barnhle01.html
743,St. Louis Bombers,1947,1947,/players/b/barrjo01.html
744,St. Louis Bombers,1947,1947,/players/b/barrjo01.html
745,Virginia Squires,1973,1974,/players/b/barrmi01.html
746,Spirits of St. Louis,1975,1976,/players/b/barrmi01.html
747,Kansas City Kings,1977,1977,/players/b/barrmi01.html
748,Cincinnati Royals,1971,1971,/players/b/barrmo01.html
749,Houston Rockets,2005,2005,/players/b/barrean01.html
750,Orlando Magic,2005,2005,/players/b/barrean01.html
751,Phoenix Suns,2006,2006,/players/b/barrean01.html
752,Toronto Raptors,2006,2006,/players/b/barrean01.html
753,Chicago Bulls,2007,2007,/players/b/barrean01.html
754,Los Angeles Clippers,2008,2008,/players/b/barrean01.html
755,Boston Celtics,1954,1956,/players/b/barreer01.html
756,Washington Capitols,1970,1970,/players/b/barremi01.html
757,Virginia Squires,1971,1971,/players/b/barremi01.html
758,San Diego Conquistadors,1973,1973,/players/b/barremi01.html
759,New York Knicks,2020,2022,/players/b/barrerj01.html
760,Miami Heat,2006,2007,/players/b/barroea01.html
761,Miami Heat,2008,2008,/players/b/barroea01.html
762,New York Knicks,2010,2010,/players/b/barroea01.html
763,Phoenix Suns,2011,2011,/players/b/barroea01.html
764,Milwaukee Bucks,2011,2011,/players/b/barroea01.html
765,Portland Trail Blazers,2011,2011,/players/b/barroea01.html
766,Golden State Warriors,2012,2012,/players/b/barroea01.html
767,Washington Wizards,2013,2013,/players/b/barroea01.html
768,New York Knicks,2013,2013,/players/b/barroea01.html
769,Phoenix Suns,2015,2015,/players/b/barroea01.html
770,Seattle SuperSonics,1990,1992,/players/b/barroda01.html
771,Seattle SuperSonics,1993,1993,/players/b/barroda01.html
772,Philadelphia 76ers,1994,1995,/players/b/barroda01.html
773,Boston Celtics,1996,2000,/players/b/barroda01.html
774,Detroit Pistons,2001,2001,/players/b/barroda01.html
775,Detroit Pistons,2002,2002,/players/b/barroda01.html
776,Boston Celtics,2004,2004,/players/b/barroda01.html
